구역,이름,구글맵링크,좌표,비고
서울,롯데리아,https://maps.app.goo.gl/HosPLur1cJ6X5sr78,"37.53654256543878, 127.09552764449447",
대전,성심당 본점,https://maps.app.goo.gl/HoaxCu8tb3TiAqan6,"36.327847400657774, 127.42732093942494","빵 맛잇고 가성비잇음. 은행동 위치. 본점 위층에 테라스키친(식사) 있음"
대전,성심당 대전역점,https://maps.app.goo.gl/5jhjNyeuKz5G546aA,"36.332474820174184, 127.43371337011524","대전역 2층 대합실 위치. 기차 타기 전 들르기 좋음"
대전,성심당 롯데백화점 대전점,https://maps.app.goo.gl/af3PrVyVXyAqPLsw9,"36.34057268479398, 127.39023004127927","롯데백화점 1층 위치. 백화점 전용 메뉴가 따로 있음"
대전,성심당 DCC점,https://maps.app.goo.gl/iowUxA7Lxt3U9SaS6,"36.37551267674989, 127.39240996826295","대전컨벤션센터 위치. 유성구 쪽에서 가기 좋음"
대전,성심당 케익부띠끄,https://maps.app.goo.gl/ktWnWhs8DBRQ3PeF9,"36.33355140583163, 127.42743660252076","케이크 및 디저트 전문. 본점 입구 근처 위치"
대전,성심당 옛맛솜씨,https://maps.app.goo.gl/b4LhEEHLFCbg3mVc6,"36.327739662588186, 127.42746302778757","전통 과자 및 답례품 전문. 본점 근처 위치"
대전,성심당 문화원,https://maps.app.goo.gl/XE4JUy3pycGCJfaz7,"36.32724330193117, 127.42737403942485","굿즈 판매 및 전시 공간. 쉼터로 좋음"
대전,오문창순대국밥,https://maps.app.goo.gl/PCvbrhjFPmyQhEHF7,"36.35942813406155, 127.42659419709878", "대전터미널 근처 위치"
홍대,카츠와,https://maps.app.goo.gl/8Ry2eJwm4zeVE7kYA,"37.55544969725542, 126.92701645481728", "맛있던데"
서면,교자쇼푸,https://maps.app.goo.gl/igYC1Zm5Gx6tG6tT9,"35.15895161617535, 129.06351061054482", "마파두부 맛있더라"
요코하마,요시무라야,https://maps.app.goo.gl/cZjiQj1a2R85zEn68,"35.4631847045806, 139.6151070835739", "아직 안가봄! 이에케라멘 총본산"
서면,국밥골목,https://maps.app.goo.gl/pUCAXzDCcvQ2JX3HA,"35.155868949482944, 129.05819858356253", "서면시장 위치"
홍대,온정,https://maps.app.goo.gl/69G7NaKButZghqr48,"37.56282294562447, 126.9255017529638", "(돈부리 사케동 등) / 가성비 그럭저럭(12,000~22,900) / 생선류 덮밥 신선하고 맛있음"
대전,농민순대,https://maps.app.goo.gl/C5bfRJwUvn8vmD2R8,"36.31927755238408, 127.43183373942456", "6000원이라는 싼마이 가격에 맛있는 순대국밥집임. 대전에서 유명하긴한데 솔직히 그정돈가임 난"
대전,태평소국밥,태평소국밥,"36.33396842892469, 127.39890683018695", "소국밥 마시써요. 가격도 착함"
대전,오씨칼국수,https://maps.app.goo.gl/RrJnE7n7dHZL3Aed6,"36.34217163851787, 127.42537937567727", ""
대전,태화장,https://maps.app.goo.gl/JdETEU8UMSAvxA5M8,"36.33396053024255, 127.42958650265949", ""
대전,요우란,https://maps.app.goo.gl/R8uw6fsHR6FpRtey7,"36.327020571322606, 127.41873019524347", ""
서면,발해양꼬치,https://maps.app.goo.gl/3jQ7WuvsoNuHVq8A6,"35.15501482593996, 129.05710772774373", ""
서면,본가밀면,https://maps.app.goo.gl/xgzMBaTJPGmqSEtS9,"35.15625859234756, 129.05867334308903", ""
